QuestionId,Title,Tags,Body,AnswerBody,AcceptedAnswerId,QuestionScore,ViewCount,AnswerCount,CommentCount,FavoriteCount,QuestionCreationDate,LastEditDate,LastActivityDate,ClosedDate
"54504153","Clang with CLion: Cannot get compiler information","<c++><cmake><clang><clion><azerothcore>","<p>I tried to switch from gcc to clang in CLion by changing the <strong>Toolchains</strong> preference:</p>

<p><a href=""https://i.stack.imgur.com/TpbNO.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/TpbNO.png"" alt=""clang clion""></a></p>

<p>But now the cmake fails with the following:</p>

<pre><code>Cannot get compiler information:
Compiler exited with error code 1: /usr/bin/clang++ -xc++ -DENABLE_EXTRAS ...
clang version 6.0.0-1ubuntu2 (tags/RELEASE_600/final)
Target: x86_64-pc-linux-gnu
Thread model: posix
InstalledDir: /usr/bin
Found candidate GCC installation: /usr/bin/../lib/gcc/i686-linux-gnu/8
Found candidate GCC installation: /usr/bin/../lib/gcc/x86_64-linux-gnu/7
Found candidate GCC installation: /usr/bin/../lib/gcc/x86_64-linux-gnu/7.3.0
Found candidate GCC installation: /usr/bin/../lib/gcc/x86_64-linux-gnu/8
Found candidate GCC installation: /usr/lib/gcc/i686-linux-gnu/8
Found candidate GCC installation: /usr/lib/gcc/x86_64-linux-gnu/7
Found candidate GCC installation: /usr/lib/gcc/x86_64-linux-gnu/7.3.0
Found candidate GCC installation: /usr/lib/gcc/x86_64-linux-gnu/8
Selected GCC installation: /usr/bin/../lib/gcc/x86_64-linux-gnu/7.3.0
</code></pre>

<p>If I manually run CMake in a terminal using <code>-DCMAKE_C_COMPILER=/usr/bin/clang -DCMAKE_CXX_COMPILER=/usr/bin/clang++</code> then it will work, only in CLion it doesn't.</p>
","","","2","5013","1","3","","2019-02-03 15:02:33","2019-02-03 15:08:40","2019-03-21 13:18:37",""
"54669959","CLion with ""source shellscript.sh""","<c++><clion>","<p>(Note: I am completely new to CLion)</p>

<p>I have an application which builds fine, but when I run it from the shell, I need to do</p>

<pre><code>make
source shellscript.sh
./applicationBinary
</code></pre>

<p>for it to run, otherwise libraries and similar won't be found</p>

<p>How do I do the <code>source shellscript.sh</code> within CLion (project from CMakeLists.txt)? I tried with External tools, before launch, but it will say that it cannot find the program ""source"".</p>

<p>The shellscript in question does some export calls, but they are dependent on a different built which is done beforehand, and the paths are not fixed, and instead get written to that script.</p>

<pre><code>DYLD_LIBRARY_PATH=""...""
export DYLD_LIBRARY_PATH
LD_LIBRARY_PATH=""...""
export LD_LIBRARY_PATH
etc.
</code></pre>
","","","1","406","1","6","","2019-02-13 12:14:11","","2021-06-11 11:11:44",""
"55633603","CLion Full Remote Mode with FreeBSD as the remote host","<c++><c><remote-debugging><freebsd><clion>","<p>Currently, the <a href=""https://blog.jetbrains.com/clion/2018/09/initial-remote-dev-support-clion/"" rel=""nofollow noreferrer"">Full Remote Mode</a> of CLion only supports Linux as a remote host OS. Is it possible to have a FreeBSD remote host?</p>
","<p>Yes, you can!</p>

<p>However, note that I'm recalling these steps retrospectively, so probably I have missed one step or two. Should you encounter any problem, please feel free to leave a comment below.</p>

<ol>
<li><p>Rent a FreeBSD server, of course :)</p></li>
<li><p>Update your system to the latest release. Otherwise, you may get weird errors like <code>""libdl.so.1"" not found</code> when installing packages. The one I'm using is FreeBSD 12.0-RELEASE-p3.</p></li>
<li><p>Create a user account. Don't forget to make it a member of <code>wheel</code>, and uncomment the <code>%wheel ALL=(ALL) ALL</code> line in <code>/usr/local/etc/sudoers</code>.</p></li>
<li><p>Set up SSH. This step is especially tricky, because we need to use both public-key and password authentication.</p>

<ol>
<li>Due to a <a href=""https://youtrack.jetbrains.com/issue/CPP-14580"" rel=""nofollow noreferrer"">known bug</a>, in some cases, the remote host must use password authentication, or you'll get an error when setting up the toolchain. You can enable password authentication by setting <code>PasswordAuthentication yes</code> in <code>/etc/ssh/sshd_config</code>, followed by a <code>sudo /etc/rc.d/sshd restart</code>.</li>
<li>It appears that CLion synchronizes files between the local and remote host with <code>rsync</code> and SSH. For some reasons I cannot explain, this process will hang forever if the host server doesn't support passphrase-less SSH key login. Follow <a href=""https://serverfault.com/a/241593/431150"">this answer</a> to create an SSH key as an additional way of authentication.</li>
</ol></li>
<li><p>CLion assumes the remote host OS to be Linux, so we must fix some incompatibilities between GNU/Linux and FreeBSD.</p>

<ol>
<li>Install GNU utilities with <code>sudo pkg install coreutils</code>.</li>
<li>Rename the BSD utility <code>stat</code> with <code>sudo mv /usr/bin/stat /usr/bin/_stat</code>.</li>
<li>Create a ""new"" file <code>/usr/bin/stat</code> with the content in <strong>Snippet 1</strong>. This hack exploits the fact that CLion sets the environment variable <code>JETBRAINS_REMOTE_RUN</code> to <code>1</code> before running commands on the remote server.</li>
<li>Do <code>sudo chmod a+x /usr/bin/stat</code> to make it executable.</li>
<li>Again, rename the BSD utility <code>ls</code> with <code>sudo mv /bin/ls /bin/_ls</code>.</li>
<li>Create a ""new"" file <code>/bin/ls</code> with the content in <strong>Snippet 2</strong>, like before.</li>
<li>Lastly, <code>sudo chmod a+x /bin/ls</code>.</li>
</ol></li>
<li><p>Install the dependencies with <code>sudo pkg install rsync cmake gcc gdb gmake</code>.</p></li>
<li>Now you can follow the <a href=""https://www.jetbrains.com/help/clion/remote-projects-support.html"" rel=""nofollow noreferrer"">official instructions</a>, and connect to your shiny FreeBSD host!</li>
</ol>

<p><a href=""https://i.stack.imgur.com/y1uMQ.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/y1uMQ.png"" alt=""enter image description here""></a></p>

<hr>

<p><strong>Snippet 1</strong></p>

<pre><code>#!/bin/sh
if [ -z ""$JETBRAINS_REMOTE_RUN"" ]
then
        exec ""/usr/bin/_stat"" ""$@""
else
        exec ""/usr/local/bin/gnustat"" ""$@""
fi
</code></pre>

<p><strong>Snippet 2</strong></p>

<pre><code>#!/bin/sh
if [ -z ""$JETBRAINS_REMOTE_RUN"" ]
then
        exec ""/bin/_ls"" ""$@""
else
        exec ""/usr/local/bin/gls"" ""$@""
fi
</code></pre>
","55633604","2","1005","3","1","","2019-04-11 13:24:32","","2020-08-30 15:45:43",""
"55690326","CLion: how to build locally, copy binary to remote and debug it with","<remote-debugging><clion><gdbserver>","<p>Currently I run configuration ""Build binary"" in CLion, <code>scp</code> it to the remote machine, start gdbserver there for the binary, and then I switch to the ""Debug binary"" configuration and press the Debug button.</p>

<p>Is there any way to simplify/automate this in CLion? I can't even make the ""Debug binary"" call the ""Build binary"" configuration: since I'm pressing the ""Debug"" button, it will try to debug the ""Build binary"".</p>
","","","1","102","0","0","1","2019-04-15 13:30:42","","2019-04-15 13:30:42",""
"55856917","CLion: run script after running target","<clion>","<p>I would like to run some commands after my target executable has been run.</p>

<p>I know that I can add ""Before launch"" tasks; is there such a thing as an ""After launch"" task?</p>
","","","5","143","0","1","1","2019-04-25 20:10:27","","2019-04-25 20:10:27",""
"56070028","How do I export .c file using Clion, I need it to be in a timeshare terminal","<c><clion>","<p>I have written code for an assignment using Clion. First of all I am having trouble with run configurations using in.txt and having output to out.txt. I figured if I can't figure that out I should try testing through the terminal but I don't know how to export my .c project. There is an option to export via HTML but that configuration will not work on the terminal. If any clarification is needed lmk!</p>

<p>This is for a Clion Windows 10 version. This is one of our first assignments in C so I have been primarily using Eclipse for java purposes. I also couldn't figure out Eclipses C version, even just to create a new C project.</p>

<p>in.txt
abc h63 8ur-)(<em>&amp;yhq!~ `xbv
JKL</em>()#$$%345~!@? >

<p>then upon doing % charType in out, the file out will contain the lines:
out.txt: 
line 1 contains:
12 alphabetic characters: abchuryhqxbv
3 numeric characters: 638
8 punctuation characters: -)(*&amp;!~`
5 whitespace characters:
line 2 contains:
6 alphabetic characters: JKLmnb
3 numeric characters: 345
13 punctuation characters: *()#$$%~!@?>&lt;
2 whitespace characters:
line 3 contains:
10 alphabetic characters: afsteyYDNC
2 numeric characters: 64
1 punctuation character: &amp;
6 whitespace characters:
line 4 contains:
9 alphabetic characters: hfdjstreL
1 numeric character: 9
8 punctuation characters: *&amp;^^%$"":
1 whitespace character:</p>
","","","1","437","1","1","","2019-05-10 02:46:37","2019-05-10 06:31:42","2019-05-10 06:31:42",""
"56252534","CLion new C++ Class file template","<c++><ide><clion><file-templates>","<p>CLion has file template to generate C++ Class, which generates source file and header. In my project I have handler classes that have same code part, and i want to generate them by file templates. And templates that i created can't do this:</p>

<ol>
<li><p>Set file names for class MyHandlerClass i want my_handler_class.cpp and .hpp</p></li>
<li><p>From one class name i want to generate 2 files header and source, don't know how to do that.</p></li>
<li>I also want to have string like MyClass -> my-class, found function <code>$lowercaseAndDash($NAME)</code> but don't know why its not works</li>
</ol>

<p>I have template for header:</p>

<pre><code>#pragma once
// includes

namespace handlers {

class ${NAME}: public Parent {
  public:
  // methods
};

}
</code></pre>

<p>I tried to solve first problem by setting the file name like this: <code>#set ($FILE_NAME = ""test_class.hpp"")</code>. But i don't know hot to set CamelCase to snake, and this don't works.</p>

<p>Also find in <a href=""https://www.jetbrains.com/help/clion/template-variables.html"" rel=""nofollow noreferrer"">docs</a> function to snake case, but its not works for me in file template.</p>
","<ol>
<li><p>Its impossible to change file name from template. When you create a C++ Class, you set <strong>class name</strong> and <strong>select file name encoding</strong>. When you <strong>create file</strong> from template its <strong>saves file with your file name</strong>. I found solution this way, enter file_name (in snake case), and with Velocity create CamelCaseName for class name:</p>
<p><code>#set( $CamelCaseName = &quot;&quot; )</code></p>
<p><code>#set( $part = &quot;&quot; )</code></p>
<p><code>#foreach($part in $NAME.split(&quot;_&quot;))</code></p>
<p><code>    #set( $CamelCaseName = &quot;${CamelCaseName}$part.substring(0,1).toUpperCase()$part.substring(1).toLowerCase()&quot; )</code></p>
<p><code>#end</code></p>
</li>
<li><p>Its impossible to generate 2 files from one click like it do C++ Class template. I have to templates, and use them both.</p>
</li>
<li><p>This function is for liveTemplates, for FileTemplate i used velocity: <code>#set( $NeededString = $NAME.replaceAll('_', '-') )</code></p>
<p>To include header file from cpp use <code>#[[#include]]# &quot;${NAME}.hpp&quot;</code></p>
</li>
</ol>
","56255833","1","1507","1","0","","2019-05-22 08:33:10","2019-05-22 08:50:16","2019-05-22 11:28:28",""
"56257486","CLion formatter breaks MOCK_METHOD lines","<c++><formatting><googletest><clion><gmock>","<p>I am using gmock in CLion, whenever I format my file, all the MOCK_METHOD macros are broken up with unnecessary line breaks. like this:</p>

<p>Before:</p>

<pre><code>    class MockObservableExecutor : public IObservableExecutor {
        MOCK_METHOD1(registerExecutor, void(IObserverExecutor*));
        MOCK_METHOD2(sendMessage, void(const std::string&amp;, const std::string&amp;));
    };
</code></pre>

<p>After:</p>

<pre><code>    class MockObservableExecutor : public IObservableExecutor {
        MOCK_METHOD1(registerExecutor, void(IObserverExecutor
                *));

        MOCK_METHOD2(sendMessage, void(
                const std::string&amp;, const std::string&amp;));
    };
</code></pre>

<p>I see no reason that the single asterisk should get a line of its own, how can I tell CLion to stop its shenanigans? Why does it decide that it should break the line there?</p>

<p>For now I have added <code>//@formatter:off</code> and <code>//@formatter:on</code> statemenst around my mock but I do want formatting to work for some of the stuff in my mock.</p>
","","","1","93","1","0","","2019-05-22 13:04:18","","2020-01-30 10:33:12",""
"59512214","Execute rustfmt on file save in IntelliJ or CLion","<intellij-idea><rust><ide><clion><rustfmt>","<p>How do I run <code>rustfmt</code> automatically when I save a file in IntelliJ or CLion?</p>
","","","7","2382","2","0","","2019-12-28 15:27:54","","2020-03-17 18:37:35",""
"59524505","Cannot build CLion project with .asm file","<c><assembly><cmake><x86-64><clion>","<p>running <code>CLion</code> on <code>Linux</code>, I've been trying to get .asm files to work. This is how my test project looks like (it worked <code>100%</code> on <code>Windows/Mac</code>, only had to add <code>.intel_syntax</code> in the <code>.asm</code> file).</p>

<p>Installed the <code>NASM</code> Assembly Support plugin.</p>

<p>main.c:</p>

<pre><code>#include &lt;stdio.h&gt;

extern long tes(long);

int main() {
    printf(""%ld"", tes(5));
    printf(""Hello, World!\n"");
    return 0;
}
</code></pre>

<p>tes.asm:</p>

<pre><code>.text:

.global tes

tes:
    mov rax, edi
    ret
</code></pre>

<p>CMakeLists.txt:</p>

<pre><code>cmake_minimum_required(VERSION 3.15)
project(Testt C)
enable_language(C ASM)

set(CMAKE_C_STANDARD 99)

set ( SOURCES 
        main.c 
        tes.asm)

add_executable(program  ${SOURCES} )
</code></pre>

<p>How do I configure <code>CLion</code> so as to use <code>tes</code> as a method in <code>C</code>? I'm expecting <code>tes(x) = x</code>, but somehow, my project doesn't compile:</p>

<pre><code> ====================[ Build | program | Debug ]=================================
/snap/clion/99/bin/cmake/linux/bin/cmake --build /home/user/CLionProjects/Testt/cmake-build-debug --target program -- -j 4
make: *** No rule to make target 'program'.  Stop.
</code></pre>

<p>Any help is appreciated!</p>
","","","1","998","1","6","","2019-12-30 00:26:26","2020-01-01 13:43:08","2020-01-01 13:43:08",""
